source,content
bbcturk,"İçişleri Bakanı Süleyman Soylu, HDP'nin Abdullah Öcalan'a görüş yasağını protesto için yaptığı Gemlik yürüyüşünün PKK'lı Duran Kalkan'ın talimatıyla gerçekleştirildiği; yine PKK yöneticilerinden Murat Karayılan'ın da HDP Eş Genel Başkanı Pervin Buldan'a bir kaset gönderdiği iddiasında bulundu. HDP Eş Genel Başkanı Mithat Sancar ise Soylu'yu iddiasını kanıtlamaya çağırarak ""Söyleyeceğimiz şey çok net, buyursun açıklasın; ne varsa. Kaset mi var, belge mi var, buyursun açıklasın. Açıklamıyorsa suç işliyor. İki suç işliyor, bir suç delilini saklama, iki iftira suçu"" sözleriyle tepki gösterdi.İçişleri Bakanı Soylu, Kanal D'de yayınlanan ""Neler Oluyor Hayatta"" programında, HDP ve Demokratik Bölgeler Partisi'nin (DBP) Abdullah Öcalan'a uygulanan görüş yasağını protesto etmek için düzenlediği Gemlik yürüyüşü için Duran Kalkan'ın talimat verdiğini öne sürdü:""Bundan bir ay önce Duran Kalkan bir talimat veriyor. Diyor ki Türkiye'nin her yerinden Apo'nun tecrit edildiğini protesto edebilmek için... Bir teröristin ne yapılması lazım? Bunun için 81 ilden Bursa Gemlik'e gideceksiniz ve burada bunu protesto edeceksiniz. Peki biz ne yaptık bu talimatı izledik. Tekirdağ merkezli bir operasyon yaptık. İstihbaratımız, terör birimlerimiz KCK tipi bir yapılanmayı tespit ettiler ve ciddi bir operasyon yaptılar. Bu operasyonda Gemlik yürüyüşündeki tüm kodları biz aldık. Türkiye'nin hiçbir yerinde adım attırılmadı. İstanbul Kadıköy'de milletvekilleri de Gemlik'e gitmek istiyordu.""HDP ve DBP'li millevekillerini kastederek ""Bunlara milletvekili denmesine karşıyım"" diyen Soylu, ""Bunlar PKK'nın dışında en ufak bir adım atamazlar. Pervin Buldan'a Murat Karayılan'ın gönderdiği bir kaset var. Bunlar esirler. Terör örgütünün esiriler, hem o ideolojiye sahipler ama kurtulmak isteseler de kurtulamazlar. Türkiye'deki bir takım meseleleri HDP üzerinden görmek cehalettir, aymazlıktır, ihanettir"" ifadelerini kullandı.Soylu'nun iddialarına HDP Eş Genel Başkanı Mithat Sancar tepki gösterdi. Meclis'te bir grup gazetecinin sorularını yanıtlayan Sancar, Soylu'nun HDP milletvekili ve yöneticilerine ""iftira attığını"" savundu. Soylu'nun 21 Şubat 2021'de Gara operasyonu ile ilgili Meclis'te yaptığı konuşmada, ""HDP'li bir milletvekilinin Gara'ya gittiği, daha sonra bu ismin Dilan Dirayet Taşdemir olduğunu açıkladığını anımsatan Sancar, Soylu'nun bu iddiasını kanıtlayamadığını belirtti. ""Bu bir defa suç. İçişleri Bakanı, elinde bir bilgi varken bunu açıklamıyorsa, suç delilini saklamak, suçtur"" diye ekledi. Soylu'nun Çözüm Süreci'ndeki görüşmeler ve fotoğraflar üzerinden de Pervin Buldan'ı hedef aldığını kaydeden Sancar, İçişleri Bakanı'nı yeni iddiasıyla ilgili de kanıtları açıklamaya çağırdı:""Şimdi pek çok söylediği şeylerin neredeyse yalan olduğu ortaya çıkmış birinin, bugün eş başkanımızla ilgili böyle bir iddiasına kulak kabartacak kimse çıkarsa gerçekten kendilerinin de aynı suç ilişkilerinin ve aynı ağın tam bir parçası olduklarını rahatlıkla söyleyebiliriz. Soylu toplumu zehirleyen bir narko siyaset dili, tarzı kullanıyor. Bugün yaptığı açıklamaya gelince, buyursun elinde ne varsa açıklasın. Kaset mi var, kamuoyuna açıklasın. Savcılıklara mı veriyor; versin. Ne gerekiyorsa onu yapsın. Öyle kuru sıkı  şantajlarla ve açık iftiralarla herhangi bir sonuç elde edemez. Hele bizimle ilgili bu hesabını gerçekleştirmesi mümkün değil.""Sancar, seçimler yaklaşırken Soylu'nun parti içine dönük dönük hesaplarını ""HDP üzerinden görmeye çalıştığını"" da savundu:""Kendi partisi içinde iktidar yarışında bir konum oluşturmaya ve bu konumu iyice yerleştirme çabası olabilir, vardır. Belki iktidar bloğu içinde yine aynı şekilde kendisine sağlam bir yer, güvenceli korunaklı konum elde etmeye çalışıyor. Bütün bunları yaparken de iftiralarla bize saldırmayı bir yöntem olarak kullanıyor. Bugüne kadar ortaya attıığı iftiralar, sicili kamuoyu önünde."""
donanimhaber,"









Tam Boyutta Gör



Geçtiğimiz yıl iPhone'dan Android'e transfer özelliğini devreye alan WhatsApp, nihayet Android'den iOS'a geçmek isteyen kullanıcılar için de sohbet aktarım özelliğini 2022'de ücretsiz olarak kullanıma sundu.




İnstagram hesap dondurma nasıl yapılır?


11 ay önce eklendi






Öncelikle eski ve yeni cihazlarınızın aşağıdaki gereksinimleri karşılaması gerekiyor:gerekmekte. Cihazlarınız tüm bu koşulları sağlıyorsa aşağıdaki adımları izleyerek Android'den iOS'a WhatsApp aktarımını gerçekleştirebilirsiniz.









Tam Boyutta Gör



"
donanimhaber,"









Tam Boyutta Gör



Günümüzde Samsung ve TSMC arasında yaşanan cep telefonları, işlemciler ve ekran kartlarında kullanılan düşük nanometre çip üretimi yarışına bir isim daha dahil olacak gibi gözüküyor. NikkeiAsia tarafından paylaşılanlara göre ABD ile yeni bir iş birliğine imza atan Japonya, 2025 yılına kadar gelişmiş 2nm üretimine başlamayı planlıyor.Yeni yarı iletken teknoloji ortaklığı ile birlikte iki ülkenin birbirine destek sağlaması beklenirken, anlaşmanın ayrıca tasarım ve seri üretim araştırmalarına yardımcı olacak özel şirketleri de içereceği bildiriliyor. Bununla birlikte Japonya, yeni nesil çiplerin temin edilmesi konusunda yerli üretim yoluna giderek istikrarlı bir tedarik zinciri oluşturmayı hedefliyor.




AMD, TSMC'nin en büyük müşterilerinden biri olacak


1 yıl önce eklendi






Anlaşmanın henüz tüm detayları bilinmiyor olsa da, Japonya'nın ABD ile ortak bir şirket kurabileceği veya Japon şirketleri üzerinden yeni bir üretim merkezi kurulabileceği öngörülüyor. Şu an itibariyle gelişmiş yarı iletkenlere yönelik araştırma ve geliştirme maliyetlerini düşürmek için sübvansiyonlar sunmaya başlayan Japonya, 2025 ile 2027 yılları arasında kurulacak tesis için çalışmalara bu yıl başlayacak."
donanimhaber,"









Tam Boyutta Gör



İSS’lerin müşterilere düşük hızda internet sunmayı tercih etmesi ve yüksek hızlı internet fiyatlarının uçuk seviyede olması nedeniyle 1 Gbps hızında internet hayaldi. TurkNet ise kendi gigabit fiber altyapısının bulunduğu yerlerde 139,90 TL’ye 1 Gbps’ye varan hızda internet sunuyor. TurkNet GigaFiber, 1000 Mbps’ye kadar hızda download ve upload sunuyor. Normal bir internet ile uzun saatler süren oyun indirmeleri, TurkNet GigaFiber ile dakikalar içerisinde iniyor. Örneğin 24 Mbps internet ile yaklaşık 4 saatte inen bir 40 GB boyutundaki bir oyun, 1 Gbps internet ile yaklaşık 5 dakikada iniyor.




TurkNet GigaFiber nedir?


1 yıl önce eklendi






İnternet hızı 1 Gbps gibi uç noktalara ulaştığında İSS'nin bant genişliği kısıtlamaları, internet hızının tamamını kullanmaya engel olabiliyor. Bazı İSS'ler, diğer kullanıcıların yoğunluktan etkilenmemesi için internet hızını kısıtlayabiliyor. TurkNet ise kullanıcıları kısıtlamak yerine CDN ve Peering anlaşmaları ile kullanıcıların yüksek hızdan tamamen faydalanmasını sağlıyor. CDN ve Peering anlaşmaları sayesinde TurkNet, yüksek hızlı fiber internet hizmeti ile Steam'e en hızlı bağlantıyı sunuyor. Steam'in haftalık olarak yayınladığı İSS Hızları Karşılaştırması Raporu'nda 2021 Eylül ayından beri zirvede yer alıyor.TurkNet GigaFiber sayfasındaki GigaFiber altyapı sorgulama aracıyla adresinizde GigaFiber internet olup olmadığını sorgulayabilirsiniz. Adresinizde TurkNet GigaFiber yoksa GigaFiber İstiyorum sayfasını ziyaret ederek talepte bulunabiliyorsunuz. TurkNet, talebinizi değerlendirerek GigaFiber altyapısı kurabilir. Talebinizi komşularla paylaşarak GigaFiber kurulumunu hızlandırabilirsiniz."
gazetoksijen,"Eşref Hamamcıoğlu yaptığı yazılı açıklamada, ""11 Haziran'da yapılan seçim neticesinde 2208 üyemizin güvenine mazhar olan Sayın Dursun Aydın Özbek ve ekip arkadaşları dün mazbata alarak resmen işbaşı yaptılar. Önlerinde uzun bir yol ve çözüm bekleyen meseleler var. Her birini tekrar tebrik ediyor ve Galatasaray'a somut fayda üretecek verimlilikte çalışmalarını diliyorum"" değerlendirmesinde bulundu.Seçime katılan üyelere de teşekkür eden Hamamcıoğlu, ""#GeleceğeGüven vizyonumuza inanan 2073 üyemize bize itimat ettikleri ve destek oldukları için ayrıca şükran borçluyuz. İptal edilen 30 Nisan seçimlerinden önce kurduğumuz ekipte bana destek olan ve Galatasaray'ın geleceğinde önemli roller üstleneceklerine inandığım kıymetli yol arkadaşlarıma; yoğun kampanya döneminde onlara ayırdığım vakit epey azalsa da bana olan sevgi ve destekleri hiç eksilmeyen sevgili aileme, yakın dostlarıma minnettarım"" ifadelerini kullandı.Kulübe destek olmaya devam edeceklerini vurgulayan Hamamcıoğlu, ""Galatasaray'ın birikmiş sorunlarını aşarak tarihine, büyüklüğüne ve iddialı hedeflerine yakışır konuma yükselmesi için fikir üretmeye, önerilerde bulunmaya devam edeceğiz. Galatasaray hepimize, her birimize ve hatta henüz doğmamış ama geleceğimizi şekillendirecek çocuklara aittir. Bunu samimi olarak hisseden herkes gibi sorumluluğumuzun farkındayız. Yine Galatasaraylıların arasında ve daima Galatasaray'ın yanındayız"" şeklinde görüş belirtti."
hurriyet,"Haberin Devamı'Bozkırın Tezenesi' olarak tanınan halk ozanı Neşet Ertaş’ın vaziyeti üzerine hayatının film yapılacağına yönelik çıkan haberlere Neşet Ertaş’ın kız kardeşi Nadiye Ertuğrul, tepki gösterdi. Ağabeyinin, filminin çekilmesini istemediğini belirten Ertuğrul, ""Ağabeyim filminin çekilmesini istemedi. Bizler, ailesi olarak vasiyetini yerine getirmek için film çekilmesine izin vermiyoruz. Ağabeyimin yakın arkadaşları da var. Ağabeyim adına yayınlanmış kitaplar da var ama ailenin onayı olmadığı için onlar da filme onay vermediler. O kitap yazarları da vasiyeti bilmelerinden kaynaklı filme onay vermediler"" diye konuştu.Aile adına yaşanan süreçle ilgili yapılan yazılı açıklamada ise şu ifadelere yer verildi:""Hiçbir şekilde iznimiz olmadan ve onayımız alınmadan çekilmekte olan Merhum Neşet Ertaş’ın, vasiyeti de çiğnenerek, hayatının konu edileceği duyurulan sinema filminde, Neşet Ertaş’ın eserlerinin ve icralarının kullanılmasının önlenmesi için açtığımız davamızın reddedildiğine dair basında çıkan haberler gerçeği yansıtmamaktadır. Davamız halen yerel mahkeme aşamasında devam etmektedir. Basına yansıyan İstinaf Mahkemesi kararı, sadece Yerel Mahkeme tarafından daha önce verilmiş olan bir tedbir kararının kaldırılmasına ilişkindir. Geçici nitelikteki tedbirin bu aşamada kaldırılmasına ilişkin verilen istinaf kararı nihai bir karar değildir. Buna rağmen, kararın bazı basın organlarına davanın esastan reddedildiği şeklinde yansıtılması davalıların başından bu yana devam eden yanıltıcı ve kötü niyetli tutumlarını meşrulaştırma çabalarından ibarettir"""
hurriyet,"Haberin DevamıHalk ozanı Şahsenem Akkaş nefes darlığına bağlı kalp yetmezliği nedeniyle dün sabah hayatını kaybetti. Uzun zamandır alzheimer hastalığı ile mücadele eden 79 yaşındaki Akkaş için Karacaahmet Sultan Dergâhında tören düzenlendi. Cenaze töreni öncesi Yavuz Bingöl ve kardeşi Oğuz Bingöl taziyeleri kabul etti. Törene ailesinin yanı sıra, Kültür ve Turizm Bakan Yardımcısı Özgül Özkan Yavuz, Türk Halk Müziği sanatçısı Kubat, Şarkıcı Mahsun Kırmızıgül, Oyuncu Oktay Kaynarca ve sevenleri katıldı. Akkaş, törenin ardından Balıkesir Ayvalık’ta kızı Efsun Bingöl’ün yanına defnedilmek üzere uğurlandı. Yarın ise Ayvalık Küçükköy Mezarlığı’na defnedilecek.""TELEFON BİLE AÇMAYAN HERKESE YAZIKLAR OLSUN"" Halk ozanı Şahsenem Akkaş’ın oğlu Oğuz Bingöl, törende yaptığı konuşmada cenaze için aramayanlara tepki göstererek, ""Türkiye’nin ilk kadın ozanı. Kadın olmanın, müzisyen olmanın, alevi olmanın, muhalif olmanın her türlü faşizmini görmüş bir kadının cenazesinde bulunuyorsunuz. Benim annem olarak değil, çocuklarının başında kalabilmek için mücadele verdi. Bütün ömrünü bu mücadeleye vermiş olan kadının cenazesinde siyasi nezaketi bir yana bırakıyorum, insanlık nezaketi göstermeyen, burada olmayan, telefon bile açmayan herkese ’Yazıklar olsun’ diyorum"" dedi.Haberin Devamı""ARAÇ BİLE BALIKESİR BÜYÜKŞEHİR BELEDİYESİ’NDEN GELDİ""Yavuz Bingöl ise annesinin cenaze aracının Balıkesir Büyükşehir Belediyesi’nden geldiğine dikkat çekerek İBB’ye tepki gösterdi. Bingöl, ""Anne öldükten sonra evladın büyüdüğü söylenir, galiba büyüdüm. Annemizi kaybettik, bizim kahramanımızdı. 1970’li yıllarda, Türkiye’nin en kötü dönemlerinde haksızlıklara karşı durmuş, Türkiye’nin ilk kadın ozanlarından biriydi. İnsan nezaket gösterir arar başsağlığı diler. Araç bile Balıkesir Büyükşehir Belediyesi’nden geliyor, dikkatinizi çekerim. Üzüldük aramalarını beklerdik insanlık adına. Herkes aradı, Sayın Valimiz aradı, Cumhurbaşkanımız aradı, Meclis Başkanımız aradı, Kültür Bakanımız aradı, vekiller aradı, İçişleri Bakanımız aradı. Herkes aradı sağ olsun. Aramayan arkadaşlara da tekrar ediyorum, yazıklar olsun"" diye konuştu."
hurriyet,"Haberin DevamıABD Merkez Bankası (Fed), piyasaların günlerdir tedirginlikle beklediği faiz kararını açıkladı. Banka buna göre; politika faizinde 75 baz puan artırıma giderek, 1994 yılından bu yana artırılan en yüksek faiz kademesini gerçekleştirmiş oldu.ABD Başkanı Jerome Powell, karar sonrası yaptığı basın toplantısında önümüzdeki toplantılar için faiz artırım projeksiyonuyla ilgili olarak, 'Faiz artırım hızı verilere bağlı olacak' şeklinde belirtti. Powell, '75 baz puanlık artırımın sürekli hale gelmesini beklemiyoruz' diye açıklamalarına eklerken; 'Gelecek toplantıda 50 veya 75 baz puan artırım olabilir' dedi.Başkan Powell, konuşmasında piyasaların merakla beklediği yıl sonu faizi çekecekleri seviye ile ilgili olarak; ""Politikayı bu yılın sonunda ılımlı şekilde sınırlayıcı bir seviyede görmek istiyoruz. Politika faizi için bu ılımlı sınırlayıcı seviye yüzde 3-3,5 aralığında"" değerlendirmesinde bulundu.Haberin DevamıGözden KaçmasınFed kritik faiz kararını açıkladıHaberi görüntüleENFLASYON VERİSİYLE BEKLENTİ DEĞİŞMİŞTİGeçtiğimiz cuma günü ABD mayıs ayı enflasyonunun sürpriz bir şekilde, yüzde 8,6’ya yükselerek 41 yılın zirvesini yenilemesiyle; piyasa fiyatlamalarında Fed’den faiz artırım beklentisinin 50 baz puandan 75 baz puana yükseldiği görülmüştü. Fed’in yıl sonunda politika faizini çekeceği seviye ise; yüzde 2,75 seviyesinden yüzde 3,50 seviyesine yükselmişti.PİYASALAR NE TEPKİ VERDİ?Ons Altın Fiyatları, Fed’in açıklamaları öncesi 1820 dolar seviyesinde hareket ederken, açıklamalar sonrası ilk tepki olarak 1814 dolar ile 1826 dolar seviyeleri arasında dalgalı seyretti. Ons altın Başkan Powell'ın açıklamalarıyla yönünü yukarı çevirdi ve 1841 dolar seviyesine kadar yükseldi. Sarı maden saat 22:34 itibarıyla yüzde 1,69 oranında yükselişle 1838 dolar seviyesinde hareket ediyor.Dolar endeksi Fed'in kararı öncesi 105,6 seviyesinde bulunurken, şu sıralarda yüzde 0,77 oranında düşüşle 104,71 seviyesine geriledi. Brent petrol 119 dolarda işlem görüyor. EuroDolar paritesi ise, karar öncesi 1,0403 seviyesinde bulunurken, karar sonrası dalgalı bir seyir izledi ve önce 1,0359 seviyesine kadar gerilerken; sonrasında 1,0454 seviyesine yükseldi.Haberin DevamıGözden KaçmasınUzmanlar Fed'i değerlendirdi: Şahin Fed piyasaları pozitif etkilediHaberi görüntüleABD 10 yıllık tahvil faizleri Fed öncesi yüzde 3,41 seviyesinde bulunurken; Powell ile beraber yüzde 3,35 seviyesine geriledi. Bitcoin Fed öncesi 21 bin 78 dolar seviyesinde bulunurken; şu dakikalarda 22 bin 108 dolarda işlem görüyor. Dolar/TL ise karar öncesi 17,2505 TL’de hareket ederken; şu sıralarda 17,2332 TL’de bulunuyor. Gram Altın fiyatı da yüzde 1,40 oranında yükselişle 1017,71 liradan işlem görüyor.Inveo Portföy Fon Yönetim Müdürü Eral Karayazıcı'nın, Fed sonrası yaptığı piyasa değerlendirmesi şöyle:Altın ve gümüş ABD tahvil faizlerinin yükselmesinden en muzdarip ikiliydi.Ölçülü kalsa da geride kalan haftalarda her ikisinde de belirgin değer kayıpları ile karşılaştık.Haberin DevamıÖnümüzdeki aylarda FED’i paylaştığı projeksiyonun üzerinde faiz artırımlarına zorlayacak bir dinamik gelişmedikçe ben bu ikilinin kalıcı ve hissedilir değer artışlarına imza atabileceği görüşündeyim.Borsalar adına en etkili olacak bölüm FED’in var olan şartlarda ekonomik büyümeyi nasıl öngördüğüydü. 2023-2024 döneminde ılımlı bir hızla da olsa büyümenin devamını beklemesi bardağın dolu ve önemli tarafı.Bir faktör değişikliğinin potansiyel etkisi üzerinde vaka kadar belirleyici olan etken fiyattır. Borsa endeksleri gerek geride kalan beş işlem gününde yaşadıkları yüzde 11 kayıpla şahin FED’i, gerek ise sene başından bugüne yaşadıkları yüzde 25 kayıpla yavaş büyümeyi hatta olası bir durgunluğu yeterince fiyatlamışlardı.Haberin DevamıBu nedenle FED sonrası beklenti bitti refleksi ile borsa endekslerinin de yükseldiğine şahit oluyoruz.Bu hareketin bir süre devam etmesi sürpriz olmayacaktır."
bloomberght,"Biden, yaptÄ±ÄÄ± yazÄ±lÄ± aÃ§Ä±klamada bugÃ¼n Ukrayna Devlet BaÅkanÄ± Vlodomir Zelenskiy ile bir telefon gÃ¶rÃ¼Åmesi yaptÄ±ÄÄ±nÄ± ve Rusya ile devam eden savaÅÄ± ele aldÄ±klarÄ±nÄ± kaydetti.GÃ¶rÃ¼Åmede ABD'nin Ukrayna'ya yardÄ±mlarÄ±nÄ± sÃ¼rdÃ¼receÄini dile getirdiÄini belirten Biden, ""Zelenskiy'i ABD'nin Ukrayna'ya 1 milyar dolar daha gÃ¼venlik yardÄ±mÄ± yapacaÄÄ± konusunda bilgilendirdim. Bu yardÄ±mlar arasÄ±nda, aÄÄ±r silahlar, kÄ±yÄ± savunma silahlarÄ±nÄ±n yanÄ± sÄ±ra Ukrayna'nÄ±n Donbas'taki savunma operasyonlarÄ± iÃ§in gerekli geliÅmiÅ fÃ¼ze sistemleri iÃ§in cephanelikler yer alacak."" ifadesini kullandÄ±.Biden, gÃ¶rÃ¼Åmede ABD Savunma BakanÄ± Lloyd Austin'in bugÃ¼n BrÃ¼ksel'deki NATO Savunma BakanlarÄ± ToplantÄ±sÄ±ndaki Ukrayna'ya uluslararasÄ± desteÄin artÄ±rÄ±lmasÄ±na yÃ¶nelik Ã§abalarÄ±nÄ±n da ele alÄ±ndÄ±ÄÄ±nÄ± aktardÄ±.Ãte yandan ABD'nin savaÅ maÄduru UkraynalÄ±lara yÃ¶nelik yardÄ±m sÃ¶zÃ¼nÃ¼ de yinelediÄini kaydeden Biden, ""BugÃ¼n ayrÄ±ca Ukrayna iÃ§indeki insanlara yardÄ±m iÃ§in 225 milyon dolarlÄ±k ek insani yardÄ±m duyuruyorum. Bunun iÃ§inde gÃ¼venli iÃ§me suyu, tÄ±bbi ihtiyaÃ§lar, saÄlÄ±k malzemeleri, gÄ±da, barÄ±nma ve insanlarÄ±n temel ihtiyaÃ§larÄ±nÄ± karÅÄ±lamasÄ± iÃ§in nakit paralar olacak."" ifadesini kullandÄ±.     "
