source,content
bbcturk,"İngiltere’nin en uzun süre tahtta kalan hükümdarı Kraliçe 2. Elizabeth 96 yaşında öldü. 2. Elizabeth 70 yıldır tahttaydı.Buckingham Sarayı'ndan yapılan açıklamada, ""Kraliçe bugün öğleden sonra Balmoral'da huzur içinde hayatını kaybetti"" denildi.BBC ekranlarında Kraliçe 2. Elizabeth'in ölümünü duyuran haberin verilmesinin ardından Kraliçe'nin fotoğrafları eşliğinde ulusal marş çalındı.Londra'da Buckingham Sarayı önünde toplanan halk, Kraliçe'nin ölüm haberinin duyulmasıyla gözyaşlarına boğuldu.Saray önünde dalgalanan Birleşik Krallık bayrağı yerel saatle 18:30'da yarıya indirildi.Başbakan Liz Truss, Başbakanlık Konutu önünde yaptığı açıklamada, Kraliçe 2. Elizabeth'in ölümünün hem İngiltere'de hem de dünyada şok etkisi yarattığını söyledi.Truss, ""Kraliçe 2. Elizabeth modern Britanya'nın üzerine inşa edildiği bir kaya gibiydi. Britanya bugün büyük bir ülkeyse, onun sayesindedir"" diye konuştu.Kraliyet Ailesi, Buckingham Sarayı'nın Kraliçe'nin sağlık durumunun endişe verici olduğu yönündeki açıklamasının ardından İskoçya'daki Balmoral Şatosu'nda toplanmaya başlamıştı.Kraliçe 2. Elizabeth 1952 yılında tahta geçti ve hüküm sürdüğü 70 yıl boyunca büyük sosyal değişimlere tanık oldu.Kraliçe 2. Elizabeth'in ölümüyle, en büyük oğlu eski Galler Prensi Charles Birleşik Krallık'ın yeni kralı ve devlet başkanı oldu.K﻿ral 3. Charles yayınladığı bir mesajla ""Ölümünün ülkenin dört bir yanındaki, İngiliz Milletler Topluluğu üyelerindeki ve dünyanın dört bir yanındaki sayısız insan tarafından derin bir şekilde hissedileceğini biliyorum"" dedi.Buckingham Sarayı'nın açıklamasında Kral 3. Charles ve eşinin bu gece Balmoral'da kalacakları, yarın Londra'ya dönecekleri ifade edildi.Kraliçe'nin tıbbi gözetim altına alınmasının ardından bütün çocukları Balmoral'a gitmişti.Torunu Prens William da Balmoral'da ailesine refakat ederken, Prens Harry'nin de yolda olduğu belirtilmişti.Kraliçe 2. Elizabeth Birleşik Krallık'ın devlet başkanı olarak 2. Dünya Savaşı sonrası darboğaz yıllarına, Britanya İmparatorluğu'nun dönüşümüne, Soğuk Savaş'ın bitişine, Britanya'nın Avrupa Birliği'ne üye oluşuna ve üyelikten ayrılışına tanıklık etti.Kraliçe, 70 yıl süren hükümdarlığı boyunca Winston Churchill'den başlayarak 15 başbakana hükümet kurma yetkisi verdi.Son olarak bu hafta Liz Truss, Balmoral'da hükümeti kurma yetkisini Kraliçe'den aldı.Kraliçe 2. Elizabeth, 21 Nisan 1926'da Elizabeth Alexandra Mary Windsor ismiyle Londra'nın Mayfair semtinde dünyaya gelmişti.Kendisinin aslında tahta geçme ihtimali yok gibiydi.Ancak Aralık 1936'da amcası Kral 8. Edward'ın Amerikalı Wallis Simpson'la evlenmek için tahtı terk etmesinin üzerine, Elizabeth'in babası Kral 6. George ismiyle tahtı devraldı.Böylece aile içinde Lilibet olarak bilinen Elizabeth, daha 10 yaşındayken tahtın varisi olarak görülmeye başlandı.Bundan üç yıl sonra Britanya Nazi Almanya'sıyla savaşa girdi. Kral ve Kraliçe'nin Kanada'ya sığınmaları yönündeki tavsiyeleri reddetmelerinin ardından Elizabeth ve kardeşi Prenses Margaret, zamanlarının büyük bölümünü Windsor Kalesi'nde geçirmeye başladı.Savaş yılları boyunca Kraliyet Donanması'nda hizmet veren üçüncü dereceden kuzeni Yunanistan Prensi Philip'le yazışmaya başladı.Çift, 10 Kasım 1947'de Westminster Kilisesi'nde düzenlenen törenle evlendi ve Prens Philip Edinburg Dükü ünvanını aldı.Kraliçe 2. Elizabeth, 2021 yılında 99 yaşında kaybettiği 74 yıllık eşi için ""benim en büyük gücüm ve dayanağım"" ifadelerini kullanmıştı.İlk çocukları Charles 1948'de dünyaya gelmiş, 1950'de Prenses Anne, 1960'ta Prens Andrew ve 1964'de Prens Edward doğmuşlardı.Kraliçe 2. Elizabeth'in sekiz torunu, 12 büyük torunu bulunuyordu.Prenses Elizabeth, 1952'de hasta babasının ölüm haberini Kenya'dayken almış, Londra'ya ülkenin yeni kraliçesi olarak dönmüştü. Kraliçe 2. Elizabeth'in taç giyme töreni 2 Haziran 1953 tarihinde, kendisi 27 yaşındayken yapılmıştı.S﻿onraki yıllarda ise Britanya İmparatorluğu'nun sonlanmasına ve 1960'larda İngiltere'de toplumsal normların değişmesine tanık oldu.Elizabeth monarşiyi yeni çağa uyduracak reformlar yaptı, sıklıkla kamuoyu önüne çıkıp halka açık etkinliklere katıldı.Bu süreçte İngiliz Milletler Topluluğu’na da adanmıştı. Topluluk üyesi her ülkeyi en az bir kere ziyaret etti.Fakat zor zamanlar da yaşadı.1992 yılı onun için çok zor geçti. Hem özel mülkü ve çalışma sarayı olarak kullandığı Windsor Kalesi bir yangınla büyük bir hasar aldı hem de üç çocuğunun evliliği sonlandı.1997 yılında Galler Prensesi Diana’nın Paris’te bir araba kazasında ölmesinin ardından, kamuoyu önüne çıkmamakla eleştirildi.Monarşinin modern toplumdaki rolü ve gerekliliğine dair tartışmalar başladı.Bunlara “Hiçbir kurum destekçilerinin ve tabii ki desteklemeyen kişilerin eleştirilerinden azade olmayı beklememeli” diye yanıt verdi.21 yaşında bir prensesken hayatını hizmet etmeye adamaya karar vermişti.Yıllar sonra, 1977’de bu kararından bahsederken “Buna gençlik dönemimde karar vermiş olsam da, ilerleyen yıllarda kesinlikle pişman olmadım” demişti.Hizmete adanmışlığı bundan 45 yıl sonra, tahta çıkışının 70. yılının kutlandığı Platin Jübile için halka yazdığı mektupta da görülüyordu.Kutlamalar kapsamında devlet törenleri ve renkli sokak partileri düzenlendi.Sağlık sorunları nedeniyle bu etkinliklerin bir kısmına katılamasa da “Kalbim sizinle” mesajı gönderdi.Buckingham Sarayı’nın balkonundan, ailesinin üç nesliyle birlikte halkı selamladı.Elizabeth’in ölümünün ardından Kral 3. Charles 73 yaşında, İngiliz Milletler Topluluğu üyesi 14 ülkenin devlet başkanı oldu.Kraliyet Ailesi bir yas dönemine girdi.Planlanmış resmi işleri iptal edildi. Ülke genelinde ve ülke dışındaki askeri ve diplomatik misyonlarda bayraklar yarıya indirildi.Diğer ülkelerin liderleri de başsağlığı mesajları yayımladı.ABD Başkanı Joe Biden, ülkesinin en zor dönemi olan 11 Eylül saldırıları sırasında Kraliçe’nin gösterdiği dayanışma için teşekkür etti.Fransa Cumhurbaşkanı Emmanuel Macron, onun “Fransa’nın dostu” olduğunu söyledi.Kanada Başbakanı Justin Trudeau da Kraliçe’nin Kanadalıların hayatında değişmez bir kişi olduğunu ve kendisinin “en sevdiği insanlardan olduğunu” belirtti."
donanimhaber,"









Tam Boyutta Gör



2023 Jeep AvengerJeep bugün elektrifikasyon planları doğrultusunda önemli bir eşik atladı ve üç yeni elektrikli SUV modelinin duyurusunu yaptı. Aralarında Avrupa'da satılacak elektrikli Jeep Avenger modelinin de bulunduğu araçlar 2025'e kadar piyasaya sürülmüş olacak.Henüz modeller hakkında çok detay verilmemiş olsa da yazımıza yeni Jeep Recon ile başlayalım. Kendisi Kuzey Amerika pazarında satışa sunulacak ilk elektrikli Jeep SUV olacak. Recon, tasarımından da anlaşılacağı üzere ikonik Wrangler'ın DNA'sını elektrikli araç dünyasına aktarmak üzere tasarlandı.Bu noktada Jeep'in 4x4 ruhunu araziye yansıtacak olan yeni Jeep Recon, Selec-Terrain çekiş yönetim sistemi, elektronik diferansiyel kilidi, gövde altı koruması, çeki kancaları, büyük arazi lastikleri, çıkarılabilen kapı ve camlarıyla dikkatleri üzerine çekmeyi başarıyor. Stellantis'in STLA Large platformu üzerine inşa edilecek araç 2024'te ABD'de üretime girecek ve Avrupa'da da satılacak.









Tam Boyutta Gör



2024 Jeep ReconJeep'in ikinci elektrikli SUV modeli, Kuzey Amerika'da satılan Wagoneer ailesini genişletiyor. Wagoneer S kod adıyla duyurulan modeli teknik açıdan henüz bir konsept olarak görebiliriz. Tek şarjla 650 kilometreye kadar menzil, 600 hp güç ve 3.5 saniyelik 0-100 km/s hızlanma süresi, bu model için hedeflenen özellikler arasında.Sunduğu güçten de anlayabileceğiniz üzere dört tekerlekten çekiş özelliğinin standart olacağı elektrikli SUV, ince farları, aydınlatılmış ikonik panjuru, krom detaylarla süslü hava girişleri, çift renkli büyük jantları, mavi fren kaliperleri, cam tavanı ve sportif arka kanadıyla oldukça lüks ve dinamik bir görüntü çiziyor.Recon gibi STLA Large platformunu kullanacak olan model 2024'te ABD'de üretim bandına çıkacak. Bu model için rezervasyonlar önümüzdeki yılın başında başlayacak. Wagoneer S'i de Kuzey Amerika pazarının yanı sıra Avrupa pazarında da göreceğiz.









Tam Boyutta Gör



2024 Jeep Wagoneer SAvrupa'nın yanı sıra Japonya ve Güney Kore gibi pazarlarda da satışa sunulacak olan Jeep Avenger, diğer iki modele kıyasla üretime daha yakın. Zira son aylarda aracın kamuflajlı prototipleri yollarda test edilirken pek çok kez görüntülendi. Kompakt bir araç olan Avenger, Jeep ürün gamında Renegade'in altında konumlandırılacak ve Polonya'da üretilecek.




Elektrikli Ford E-Transit Custom'ın teknik özellikleri belli oldu


1 yıl önce eklendi






2023 Jeep Avenger'ın teknik özellikleri henüz belli değil ancak hedeflenen menzilin 400 kilometre olduğunu biliyoruz. Ayrıca yerden yükseklik, yaklaşma ve uzaklaşma açıları olarak segmentinde fark yaratacağı söyleniyor. Moderni, teknolojijk ve geniş bir yaşam alanı da bahsi geçen özellikler arasında.Jeep Avenger, 17 Ekim'de Paris Otomobil Fuarı'nda görücüye çıkarılacak. O tarihte elektrikli SUV ile ilgili daha fazla detay öğrenmeyi umuyoruz. Aynı tarihte rezervasyona açılacak olan modelin satışa sunulması 2023'ün başlarını bulacak.Jeep, 2030 yılına kadar Amerika'daki satışlarının yarısının, Avrupa'daki satışlarının ise tamamının elektrikli araçlardan oluşmasını hedefliyor.  




Jeep Recon




Jeep Recon




Jeep Recon




Jeep Recon




Jeep Recon




Jeep Wagoneer S




Jeep Wagoneer S




Jeep Wagoneer S




Jeep Avenger




Jeep Avenger




Jeep Avenger




Jeep Avenger




Jeep Avenger





2023 Jeep Avenger Görselleri  (13)
Aç


"
donanimhaber,"












Apple’ın ödüllü fitness ve sağlık hizmeti Fitness+, sporla ilgilenen ve Apple ekosisteminde olan kullanıcılar için güzel bir uygulama. Apple, iPhone 14 etkinliği sırasında yeni akıllı saat modelleri Apple Watch Series 8, Watch SE 2 ve Watch Ultra’yı tanıtırken Fitness Plus için yaptıkları güncellemeden de bahsetti.Apple, Fitness+’ın bu sonbahar sonunda 21 ülkedeki (Türkiye yok) tüm iPhone kullanıcılarına sunulacağını duyurdu. Antrenman için Apple’ın kendi uygulamasını tercih eden kullanıcılar artık Apple Watch’a ihtiyaç duymayacak, doğrudan iPhone’larından abone olup antrenmanlara katılabilecek.




Apple Watch Ultra tanıtıldı: İşte özellikleri ve fiyatı


1 yıl önce eklendi






iPhone kullanıcıları, eğitmenler tarafından hazırlanan 3000 egzersiz ve meditasyon dahil tüm Fitness+ içeriğine erişebilecek. Yakılan kalori, hareket halkasındaki ilerleme iPhone’dan takip edilebilecek. Fitness+ aboneliği için iPhone gerekli olsa da, kullanım için zorunluluk yok. Kullanıcılar, AirPlay özelliğini kullanarak büyük ekrandan hareketleri daha rahat takip edip, uygulayabilecek.









Tam Boyutta Gör



Apple, daha fazla Time to Walk, Time to Run bölümü yayınlayacak. Yürüyüş veya koşu zamanı programı, insanların dışarı çıkmasına, daha fazla hareket etmesine yardımcı olmak için tasarlanmış bir ses deneyimi.Fitness Plus, ayrıca Amerika’da çeşitli yerlerden sanal koşu rotaları sunacak. Time to Walk & Run, iPhone Fitness uygulamasında da olacak. Ayrıca Mary J. Blige, The Rolling Stones, The Weeknd gibi ünlülerin yer aldığı daha fazla Artist Spotlight antrenmanı, Fitness+’da olacak. Pilates yapanlar için yeni egzersizlerin ekleneceğini, yoga yapanlar için de yeni bir eğitmenin dahil olduğunu belirtelim.Fitness+ Türkiye’de kullanılamıyor. Amerika’da Fitness aboneliği aylık 9.99 dolar, yıllık 79.99 dolar olarak ücretlendiriliyor ve 1 ay deneme süresi veriliyor. Fitness Plus dahil Apple hizmetlerini tek bir pakette toplayan Apple One da aylık 29.95 dolar."
donanimhaber,"









Tam Boyutta Gör



A16 Bionic çipe sahip yeni iPhone 14 Pro için yapılan Geekbench testi, cihazın geçen yılki iPhone 13 Pro'ya kıyasla çok az performans artışı gösterdiğini ortaya koydu.




Steve Jobs'ın kızı iPhone 14 ile dalga geçti


1 yıl önce eklendi






iPhone 14 Pro (model kodu iPhone15,3) için yapılan Geekbench test sonucu, yeni iPhone'un tek çekirdekte 1879 ve çok çekirdekte 4664 puan aldığını gösteriyor. iPhone 13 Pro ise tek çekirdekte 1707 ve çok çekirdekte 4659 puan almıştı. Bu da A16 Bionic çipli en yeni üst düzey iPhone'un, A15 Bionic çipli iPhone 13 Pro'ya kıyasla performansta ""hafif bir artış"" gösterdiğini ortaya koyuyor.A16 Bionic çipin en önemli özelliği, Apple'ın 4nm sürecine dayanan ilk çipi olması. Zira şirketin Mac için ürettiği M1 ve M2 Apple Silicon çipleri gibi A15 Bionic çipi de 5nm sürecine dayanıyor. Performanstaki küçük sıçramaya rağmen Apple, A16 Bionic çipin ""akıllı telefonlardaki en hızlı çip"" olduğunu söylüyor. Verilen bilgilere göre A16 Bionic, grafik yoğunoyunlar için %50'ye kadar daha fazla bellek bant genişliği sağlayabilen daha güçlü bir GPU'ya sahip. Ayrıca A16 Bionic'in, 4 nm sürecine göre üretilmiş olması aynı güçte daha az enerji tüketeceği anlamına geliyor.









Tam Boyutta Gör



A16 Bionic ayrıca gelişmiş makine öğrenimi görevlerine güç sağlamak için 16 çekirdekli yeni bir Neural Engine de barındırıyor. CPU tarafında ise A16 Bionic, A15 Bionic ile aynı 6 çekirdek sayısına sahip, ancak Apple bunun ""yeni bir 6 çekirdekli CPU"" olduğunu söylüyor."
gazetoksijen,sonucyok
gazetoksijen,"Hollanda Olimpiyat Komitesi ve Spor Federasyonu (NOC*NSF) tarafınca yapılan yazılı açıklamada, enerji fiyatlarındaki artışın spor dünyası için büyük bir tehdit olduğu, en çok etkilenenlerin halka açık yüzme havuzları ve buz pateni pistleri olacağı belirtildi.Açıklamada, enerji fiyatlarındaki ""aşırı"" artış nedeniyle ülkede 637 halka açık yüzme havuzundan 200'ünün, bu yıl sonuna kadar ""aşılamaz mali sorunlarla"" karşı karşıya kalarak kapanabileceği ifade edildi. Ayrıca ülkedeki 22 yapay buz pateni pistinden 6'sının kapanabileceği kaydedildi.Açık kalacak olan diğer yüzme havuzları ve buz pateni pistlerinin, 2023'te yeni bir enerji sözleşmesi imzalaması gerektiği, enerji fiyatlarının yüksek kalması durumunda ise onların da sıkıntılı bir döneme gireceği aktarıldı. Bunların yeni yılda toplam enerji maliyetinin 378 milyon euro artacağı ve açığı kapatmak için ""acil fon"" oluşturulması gerektiği vurgulandı. "
bloomberght,"HÄ±rvatistan CumhurbaÅkanÄ± Milanovic, HÄ±rvatistan'Ä±n baÅkenti Zagreb'de dÃ¼zenlenen TÃ¼rkiye-HÄ±rvatistan Ä°Å Forumu'nda yaptÄ±ÄÄ± konuÅmada, iÅ forumlarÄ±nÄ±n ekonomi iÃ§in Ã¶nemli projeler olduÄunu belirterek, Kovid-19 salgÄ±nÄ± sonrasÄ± HÄ±rvatistan'da ilk kez yÃ¼ksek katÄ±lÄ±mlÄ± forumun dÃ¼zenlendiÄini dile getirdi.HÄ±rvatistan ve TÃ¼rkiye'nin ekonomik iliÅkilerini geliÅtirmek iÃ§in istekli olduÄuna iÅaret eden Milanovic, ""Ä°Ã§inde bulunduÄumuz durumu aslÄ±nda mÃ¼kemmel fÄ±rtÄ±na olarak tanÄ±mlayabiliriz. Evrensel ve ulusal ekonomilerde belirsizlik, risk ve stres oldukÃ§a yÃ¼ksek seviyede. Bu, siyaset iÃ§in de geÃ§erli."" dedi.Milanovic, ekonomiye etki eden bÃ¼yÃ¼k gÃ¼Ã§lerin olduÄuna dikkati Ã§ekerek ""Siyasete etki edecek gÃ¼Ã§leri tanÄ±mlayabilir miyiz bilmiyorum? Bunlardan daha Ã¶nemlisi dengenin ve karÅÄ±lÄ±klÄ± saygÄ±nÄ±n Ã¶nemidir."" diye konuÅtu.Prensipler Ä±ÅÄ±ÄÄ±nda yapÄ±lmayan siyaseti ""toplum gÃ¼nahÄ±"" Åeklinde nitelendiren Milanovic, ""TÃ¼rkiye ve HÄ±rvatistan arasÄ±nda uzun yÄ±llardÄ±r devam eden iliÅkiler ekonomiyle daha da gÃ¼Ã§lendi. GeÃ§en yÄ±l dÄ±Å ticaret hacmi rekor seviyeye ulaÅarak 846 milyon dolara ulaÅtÄ± ancak yeterli deÄil. Bu yÄ±lÄ±n sonunda da 1 milyar dolarÄ± aÅmayÄ± hedefliyoruz."" ifadelerini kullandÄ±.Milanovic, son yÄ±llarda HÄ±rvatistan'a gelen yatÄ±rÄ±mcÄ±larÄ±n da arttÄ±ÄÄ±na dikkati Ã§ekerek bunlarÄ±n en Ã§ok turizm, enerji ve bankacÄ±lÄ±k alanlarÄ±nda olduÄunu sÃ¶yledi.Kovid-19 salgÄ±nÄ± dÃ¶neminde TÃ¼rk yatÄ±rÄ±mcÄ±larÄ±n gelmeye devam ettiÄine iÅaret eden Milanovic, Ã¼lkesinin ise Avrupa BirliÄi (AB) Ã¼yesi ve ekonomik anlamda istikrarlÄ± bir Ã¼lke olarak yatÄ±rÄ±mcÄ±lara gerekli koÅullarÄ± sunduÄunu belirtti.Milanovic, TÃ¼rkiye'nin direnÃ§li ve baÅarÄ±lÄ± olduÄunu ifade ederek, ""Ä°lla ki kurallar vardÄ±r ama yeni kurallarÄ± da sadece zeki ve cesur olanlar getirir."" dedi.  "
bloomberght,"Hazine ve Maliye BakanÄ± Nureddin Nebati, Memur-Sen Genel BaÅkanÄ± Ali YalÃ§Ä±n ile bir araya geldi.Memur-Sen'den yapÄ±lan yazÄ±lÄ± aÃ§Ä±klamaya gÃ¶re, bakanlÄ±ktaki gÃ¶rÃ¼Åmede, 6. dÃ¶nem toplu sÃ¶zleÅme hÃ¼kmÃ¼ gereÄi Ã§alÄ±ÅmalarÄ±na baÅlanacak sÃ¶zleÅmelilerin kadroya geÃ§irilmesi konusunda sÃ¼reli-sÃ¼resiz ayrÄ±mÄ± yapÄ±lmaksÄ±zÄ±n tÃ¼m sÃ¶zleÅmeli personelin kapsama dahil edilmesi konuÅuldu.Bakan Nebati'ye geÃ§ici personel iken sÃ¶zleÅmeli personel pozisyonlarÄ±na geÃ§en (4/C'den 4/B'ye) kamu gÃ¶revlilerinin hizmet sÃ¼relerinin dikkate alÄ±narak eÄitim durumlarÄ±na uygun kadrolara geÃ§irilmesi konusu iletildi.YÃ¶netici sÄ±nÄ±fÄ±ndaki Åefler baÅta olmak Ã¼zere yÃ¼ksekÃ¶Ärenim gÃ¶ren kamu gÃ¶revlilerinin de 3600 ek gÃ¶stergeden yararlandÄ±rÄ±lmasÄ± ve tazminat yansÄ±tma oranlarÄ±nda dÃ¼zenleme yapÄ±lmasÄ± durumunda ek gÃ¶sterge dÃ¼zenlemesinin daha kapsayÄ±cÄ± bir nitelikte olacaÄÄ± ve tam bir reforma dÃ¶nÃ¼ÅeceÄi de Bakan Nebati'ye aktarÄ±ldÄ±.GÃ¶rÃ¼Åmede, bu yÄ±l temmuzda asgari Ã¼crete yapÄ±lan ara zammÄ±n Ã§alÄ±Åanlar aÃ§Ä±sÄ±ndan memnuniyet saÄladÄ±ÄÄ±nÄ± belirten YalÃ§Ä±n, gelir vergisi matrahlarÄ±nÄ±n 6 aylÄ±k enflasyon oranÄ± kadar artÄ±rÄ±lmasÄ±nÄ±n kamu gÃ¶revlileri baÅta olmak Ã¼zere Ã§alÄ±Åanlar aÃ§Ä±sÄ±ndan gelir kaybÄ±nÄ± engelleyeceÄini ifade etti.YalÃ§Ä±n, 2022 iÃ§in 1325 lira, 2023 iÃ§in 1400 lira olarak belirlenen eÄitim-Ã¶Äretim yÄ±lÄ±na hazÄ±rlÄ±k Ã¶deneÄinin, 6. dÃ¶nem toplu sÃ¶zleÅme sonrasÄ± ortaya Ã§Ä±kan yÃ¼ksek enflasyon oranÄ± karÅÄ±sÄ±nda amacÄ±na hizmet etmekten uzaklaÅtÄ±ÄÄ±nÄ± ve bu tutarlarÄ±n yÄ±llÄ±k enflasyon oranÄ± kadar artÄ±rÄ±lmasÄ± talebini de iletti.GeÃ§miÅte imzalanan banka maaÅ promosyonu anlaÅmalarÄ± ile yeni imzalananlarÄ±n arasÄ±nda azÄ±msanmayacak tutar farklÄ±lÄ±klarÄ±nÄ±n oluÅtuÄuna dikkati Ã§eken YalÃ§Ä±n, bunlarÄ±n gÃ¼ncellenmesine yÃ¶nelik adÄ±m atÄ±lmasÄ± gerektiÄini kaydetti.GÃ¶rÃ¼Åmede, ayrÄ±ca toplu sÃ¶zleÅme hÃ¼kÃ¼mlerinin uygulanmasÄ± noktasÄ±nda hizmet kollarÄ± itibarÄ±yla yaÅanan sorunlar baÅta olmak Ã¼zere kamu gÃ¶revlile   "
