source,content
bbcturk,"Matt Murphy BBC News  R﻿usya'da ilan edilen 'kısmi seferberlik' karşıtı son protestolarda, Rusya'nın Dağıstan bölgesinde eylemciler polisle çatıştı. Bağımsız Rus insan hakları gözlem kuruluşu OVD-Info, bölgenin başkenti Mahaçkala'daki protestolar sırasında 100'den fazla kişinin gözaltına alındığını duyurdu. Kuruluş ayrıca, bölgedeki ""çok sert gözaltı"" haberlerinden kaygı duyulduğunu bildirdi. S﻿on günlerde Rusya'nın büyük kentlerinde seferberlik karşıtı eylemler yapıldı ve sadece cumartesi günü 700'den fazla kişi gözaltına alındı. Ancak Dağıstan'da göstericilerin polisle çatışması, nadiren görülen şiddet olaylarına işaret ediyor. S﻿osyal medyada paylaşılan videolarda eylemciler Mahaçkala'da polise ve diğer güvenlik görevlilerine direnirken görülüyor. OVD-Info polisin eylemlerde göstericiler üzerinde şok tabancaları ve jop kullandığını bildirdi. Bir videoda bir eylemci bir polise kafa atarken, daha sonra da diğer güvenlik görevlilerinden dayak yerken görülüyor. Bir başka videoda da bir güvenlik görevlisi büyük bir eylemci grubundan kaçmaya çalışırken görülüyor. K﻿adınlardan oluşan büyük bir grup da, askerlik şubesinde nöbet tutan görevlilere bağırıyor ve Ukrayna'daki savaşı kınıyorlar. Bir kadın görevliye ""Rusya başka bir ülkenin toprağında"" derken görülüyor. Kadın ""Neden çocuklarımızı alıyorsunuz. Kime saldırıldı? Rusya'ya mı saldırıldı? Onlar bize gelmedi. Biz Ukrayna'ya saldırdık. Rusya Ukrayna'ya saldırdı. Savaşı durdurun"" diyor.  OVD-Info ayrıca, Endirey köyünde halkın seferberlik görevlilerini bölgeye sokmamak amacıyla federal otoyolu kapadığını bildirdi. Kuruluşun ele geçirdiği görüntülerde, polis memurları gösteriyi dağıtmak için havaya ateş açarken görülüyor, ancak köy halkı yolu kapatmaya devam ediyor. D﻿ağıstan Valisi Sergey Melikov öfkeyi yatıştırmak için askere almada ""yanlışlar yapıldığını"" kabul etti. M﻿elikov Telegram'da yazdığı mesajda ""Bundan daha önce de bahsettim ama yine söyleyeceğim. Kısmi seferberlik başkanın duyurduğu sıkı kriterlerle yapılmalı"" dedi. D﻿ağıstan'ın şimdiden Ukrayna'nın işgaline binlerce asker gönderdiğine inanılıyor. BBC Rusça Servisi'nin geçtiğimiz günlerde yaptığı analize göre Dağıstan, tüm diğer Rus bölgelerine kıyasla daha çok kayıp verdi. G﻿eçen ay yapılan araştırmada Dağıstan'dan 301 kişinin öldüğünü gösteriyor. Bu oran Moskova'nın 10 katı ve gerçek sayının çok daha yüksek olduğu sanılıyor. Rusya lideri Vladimir Putin'in kısmi seferberlik ilanından bu yana düzenlenen gösterilerde 2 binden fazla kişi tutuklandı.Birçok genç Rus vatandaşı ülkeden kaçmak için komşu Finlandiya ya da Gürcistan'a geçmeye çalıştı. Ü﻿lkede yerel seferberlik yetkililerinin silah altına alma kriterlerini karşılamayan çok sayıda kişiyi askere aldıkları haberleri geliyor. "
bloomberght,"Dolar/TL  kuru haftaya yeni rekorla başladı.Kur, Asya piyasalarındaki sığ işlemlerde 18,44 seviyesini de aşarak güniçi gördüğü rekor seviyeyi yeniledi.Geçen hafta Fed'in şahin mesajları ve Türkiye Cumhuriyet Merkez Bankası'nın 100 baz puanlık faiz indiriminin etkisiyle dolar/TL kuru Aralık 2021'de kırdığı rekoru tazelemişti.Yeni haftanın ilk işlem gününde Türkiye'nin risk primi 781 baz puana yükselirken, 2 yıllık gösterge tahvil faizi de yüzde 13,99 seviyesinde.Sterlindeki ağır kaybın da etkisiyle Bloomberg Dolar Endeksi yüzde 1,1 yükselişle 1354,5 puana çıkarak rekor seviyeye yükseldi.İngiltere’de yeni Başbakan Liz Truss’un agresif vergi kesintilerini öngören paketinin enflasyonu daha da tetikleyeceği endişesi ve Fed’in sert faiz artış patikasına girmesiyle düşen sterlin haftaya dolar karşısında rekor düşük seviyeyle giriyor.Maliye Bakanı Kwasi Kwarteng haftasonu, vergi kesintileri planını kastederek “daha fazlası yolda” açıklaması yapmasıyla sterlin Asya’da yüzde 5 civarında değer kaybederek 1,0350 dolar ile rekor düşük seviyeye geriledi.Dolar/TL rekor seviyelere gelirken Uluslararası Finans Enstitüsü (IIF) de dolar/TL'deki adil değerini güncelledi.IIF Başekonomisti Robin Brooks, dolar/TL'de adil değeri 16,50'den 21 seviyesine yükselttiklerini duyurdu. Brooks bu değerin salgın öncesi dönemde 5,50 seviyesinde olduğunu hatırlattı. "
bloomberght," Nikkei 225 Japonya'da erken ticarette yüzde 1.97 düştü ve Topix yüzde 2 düştü. Güney Kore'nin Kospi'si yüzde 2.3 kaybetti ve Kosdaq yüzde 3.12 değer kaybetti.Avustralya'da S&P/ASX 200 yüzde 1,94 geriledi. MSCI'nin Japonya dışındaki en geniş Asya-Pasifik hisseleri endeksi yüzde 1,19 düştü.Bu arada, Hong Kong'un Hang Seng Endeksi, Hang Seng Tech Endeksi'nin trendi yakalayıp yüzde 2,45 artmasıyla yüzde 0,38 değer kazand. Çin anakarasında, Şanghay Bileşik yüzde 0,3 ve Shenzhen Bileşeni yüzde 1 arttı.Hindistan Merkez Bankası'nın para politikası komitesinin bu hafta toplanması planlanıyor ve Çin'in hafta sonunda fabrika faaliyeti verilerini yayınlaması bekleniyor.Gayrimenkul geliştiricisi China Vanke'nin bir yan kuruluşu olan Onewo, bu hafta Hong Kong Borsasında da piyasaya çıkacak."
